"timestamp","timestamp_str","filename_model","filename_out_prefix","mse_train","mse_test","mae_train","mae_test","mae_test_summer","r2_train","r2_test","r2_test_summer","r2_train_nonzero","r2_test_nonzero","comment"
"2018-10-18 20:45:26.095202","2018-10-18 20:45:26.096772","model_gradient_boosting_imputed.pkl","mod_gbimp_",5993.833459766106,25317.792830705093,42.70395135919895,84.86353274979507,"",0.9853057989610492,0.9361097531740052,"","","","gradient boosting with IterativeImputer() imputation, without using dewpoint"
"2018-10-18 21:46:25.537658","2018-10-18 21:46:25.537687","model_gradient_boosting.pkl","mod_gb_",1131.8311756882304,24380.236830768197,20.538726107233764,85.43290047952202,"",0.9972350955869684,0.9406105250603446,"",0.9962909752722876,0.9198414664335514,"without using dewpoint as a feature"
"2018-10-19 07:03:25.426032","2018-10-19 07:03:25.426063","model_gradient_boosting_weather_only_with_dewpoint.pkl","mod_gbwowdp_",93838.75949016832,157681.57647617994,182.99306924553886,239.9958559922761,"",0.7707651054318985,0.6158927372371071,"",0.672343831187229,0.451384077394923,"Including only weather data, but now with dewpoint"
"2018-10-19 07:37:02.206377","2018-10-19 07:37:02.206419","model_gradient_boosting_with_dewpoint.pkl","mod_gbwdp_",1369.695426204103,24520.591787229037,22.53427042544756,83.72071082443881,"",0.9966540266695532,0.9402686248881992,"",0.995603605586573,0.9187650362578118,"Including time and weather data, but now with dewpoint"
"2018-10-19 09:05:34.960522","2018-10-19 09:05:34.960540","model_random_forest.pkl","mod_rf_",35581.94260884605,43499.69207859269,99.81511075899842,111.24183011354502,"",0.913078317458772,0.8940361453206235,"",0.889665287513369,0.8595839785369409,"rerun for performance documentation purposes only"
"2018-10-19 09:06:55.446126","2018-10-19 09:06:55.446144","model_xgb.pkl","mod_xgb_",45383.33213879039,57419.001709339725,142.10248083278802,158.00421080821312,"",0.8891349010312233,0.860129153512845,"",0.8661690071625588,0.8265567839698168,"rerun for performance documentation purposes only"
"2018-10-23 16:45:38.998156","2018-10-23 16:45:38.998179","model_gradient_boosting.pkl","mod_gb_",1131.8311756882304,24380.236830768197,20.538726107233764,85.43290047952202,105.42286947659235,0.9972350955869684,0.9406105250603446,0.9325804804064488,0.9962909752722876,0.9198414664335514,""
"2018-10-30 13:14:30.687822","2018-10-30 13:14:30.690339","model_gradient_boosting_interactions.pkl","mod_gbx_",4462.890204987139,27275.039724621434,35.233734021733994,85.33473071370847,107.40690813805998,0.9890977867656442,0.9335588780598212,0.9231429517048726,0.9853825355220732,0.9099972676900971,""
"2018-11-05 21:08:28.847482","2018-11-05 21:08:28.847501","model_random_forest.pkl","mod_rf_",35581.94260884605,43499.692078592685,99.81511075899842,111.24183011354502,139.68450280206724,0.913078317458772,0.8940361453206235,0.8803149676459305,0.889665287513369,0.8595839785369409,"rerun for performance documentation purposes only"
"2018-11-05 21:10:53.572418","2018-11-05 21:10:53.572443","model_xgb.pkl","mod_xgb_",42273.23970592525,55344.18329587356,137.99781961558688,155.25390134962984,173.06959685931676,0.8964165440188577,0.865748794748661,0.8560828321959653,0.8753148163740634,0.8360675985184574,"rerun for performance documentation purposes only"
